species,subset_size,week_number,expected_abundance
Bohemian Waxwing,36,1,0.11746736091517684
Bohemian Waxwing,36,2,0.0
Bohemian Waxwing,36,7,0.0
Bohemian Waxwing,36,8,0.00018888762535488706
Bohemian Waxwing,36,9,9.735605299089964e-06
Bohemian Waxwing,36,10,2.369656213661745e-05
Bohemian Waxwing,36,12,0.0008687366609839283
Bohemian Waxwing,36,13,0.0014234912299525386
Bohemian Waxwing,36,14,0.024534704761447007
Bohemian Waxwing,36,15,0.0
Bohemian Waxwing,36,31,0.03493996206620845
Bohemian Waxwing,36,32,0.00011318757628689685
Bohemian Waxwing,36,38,0.010888646970592986
Bohemian Waxwing,36,39,0.04747639093983709
Bohemian Waxwing,36,40,0.11885522124396077
Bohemian Waxwing,36,41,0.25731135967881547
Bohemian Waxwing,36,46,0.14066263650938707
Bohemian Waxwing,36,47,0.0
Bohemian Waxwing,36,48,0.04732294154934466
Bohemian Waxwing,36,49,0.0
Bohemian Waxwing,36,50,0.3575636323218851
Bohemian Waxwing,36,51,8.917701249253628e-05
Bohemian Waxwing,36,52,0.0
Bohemian Waxwing,38,1,0.11710570190063355
Bohemian Waxwing,38,2,0.0
Bohemian Waxwing,38,7,0.0
Bohemian Waxwing,38,8,0.00017732307686377154
Bohemian Waxwing,38,9,1.0222385564044462e-05
Bohemian Waxwing,38,10,1.692611581186961e-05
Bohemian Waxwing,38,12,0.0007717706099857222
Bohemian Waxwing,38,13,0.0013741188076295083
Bohemian Waxwing,38,14,0.024330432466477814
Bohemian Waxwing,38,15,0.0
Bohemian Waxwing,38,31,0.034211523315418164
Bohemian Waxwing,38,32,9.330327234460417e-05
Bohemian Waxwing,38,38,0.010443086139049835
Bohemian Waxwing,38,39,0.045792297829435204
Bohemian Waxwing,38,40,0.11693062384072864
Bohemian Waxwing,38,41,0.25623692746066873
Bohemian Waxwing,38,46,0.13772441613160574
Bohemian Waxwing,38,47,0.0
Bohemian Waxwing,38,48,0.04667369214083875
Bohemian Waxwing,38,49,0.0
Bohemian Waxwing,38,50,0.35856396576636657
Bohemian Waxwing,38,51,7.754522825437936e-05
Bohemian Waxwing,38,52,0.0
Bohemian Waxwing,40,1,0.11784615384615385
Bohemian Waxwing,40,2,0.0
Bohemian Waxwing,40,7,0.0
Bohemian Waxwing,40,8,0.00010597302504816956
Bohemian Waxwing,40,9,6.326034063260342e-06
Bohemian Waxwing,40,10,1.1844331641285957e-05
Bohemian Waxwing,40,12,0.0007082096933728982
Bohemian Waxwing,40,13,0.0013377874082099435
Bohemian Waxwing,40,14,0.024375375375375378
Bohemian Waxwing,40,15,0.0
Bohemian Waxwing,40,31,0.034226403823178014
Bohemian Waxwing,40,32,6.727828746177369e-05
Bohemian Waxwing,40,38,0.010260743321718932
Bohemian Waxwing,40,39,0.04561383928571429
Bohemian Waxwing,40,40,0.11693873128447596
Bohemian Waxwing,40,41,0.2566969696969697
Bohemian Waxwing,40,46,0.13799111900532862
Bohemian Waxwing,40,47,0.0
Bohemian Waxwing,40,48,0.04690841865756541
Bohemian Waxwing,40,49,0.0
Bohemian Waxwing,40,50,0.3585634920634921
Bohemian Waxwing,40,51,4.651162790697675e-05
Bohemian Waxwing,40,52,0.0
Bohemian Waxwing,42,1,0.11785641025641026
Bohemian Waxwing,42,2,0.0
Bohemian Waxwing,42,7,0.0
Bohemian Waxwing,42,8,0.0001233140655105973
Bohemian Waxwing,42,9,6.81265206812652e-06
Bohemian Waxwing,42,10,1.6920473773265652e-05
Bohemian Waxwing,42,12,0.0006973293768545994
Bohemian Waxwing,42,13,0.001342602624292765
Bohemian Waxwing,42,14,0.024444444444444446
Bohemian Waxwing,42,15,0.0
Bohemian Waxwing,42,31,0.03414516129032258
Bohemian Waxwing,42,32,6.422018348623854e-05
Bohemian Waxwing,42,38,0.010211962833914052
Bohemian Waxwing,42,39,0.045383184523809524
Bohemian Waxwing,42,40,0.11678230890464933
Bohemian Waxwing,42,41,0.25725589225589224
Bohemian Waxwing,42,46,0.13774304322084074
Bohemian Waxwing,42,47,0.0
Bohemian Waxwing,42,48,0.04692832764505119
Bohemian Waxwing,42,49,0.0
Bohemian Waxwing,42,50,0.35962698412698413
Bohemian Waxwing,42,51,4.263565891472869e-05
Bohemian Waxwing,42,52,0.0
Bohemian Waxwing,44,1,0.11787179487179487
Bohemian Waxwing,44,2,0.0
Bohemian Waxwing,44,7,0.0
Bohemian Waxwing,44,8,7.514450867052023e-05
Bohemian Waxwing,44,9,1.4598540145985402e-06
Bohemian Waxwing,44,10,1.1844331641285957e-05
Bohemian Waxwing,44,12,0.0006498516320474777
Bohemian Waxwing,44,13,0.0013033586132177681
Bohemian Waxwing,44,14,0.02438738738738739
Bohemian Waxwing,44,15,0.0
Bohemian Waxwing,44,31,0.03404719235364397
Bohemian Waxwing,44,32,4.434250764525994e-05
Bohemian Waxwing,44,38,0.010027874564459931
Bohemian Waxwing,44,39,0.04495486111111111
Bohemian Waxwing,44,40,0.11623896769109535
Bohemian Waxwing,44,41,0.25627609427609427
Bohemian Waxwing,44,46,0.1370947306098283
Bohemian Waxwing,44,47,0.0
Bohemian Waxwing,44,48,0.04675767918088737
Bohemian Waxwing,44,49,0.0
Bohemian Waxwing,44,50,0.35886507936507933
Bohemian Waxwing,44,51,3.682170542635659e-05
Bohemian Waxwing,44,52,0.0
Bohemian Waxwing,46,1,0.11727179487179487
Bohemian Waxwing,46,2,0.0
Bohemian Waxwing,46,7,0.0
Bohemian Waxwing,46,8,2.3121387283236996e-05
Bohemian Waxwing,46,9,1.4598540145985402e-06
Bohemian Waxwing,46,10,3.3840947546531303e-06
Bohemian Waxwing,46,12,0.0005252225519287835
Bohemian Waxwing,46,13,0.0012435295533887083
Bohemian Waxwing,46,14,0.024104104104104105
Bohemian Waxwing,46,15,0.0
Bohemian Waxwing,46,31,0.03340143369175628
Bohemian Waxwing,46,32,1.2232415902140675e-05
Bohemian Waxwing,46,38,0.009619628339140533
Bohemian Waxwing,46,39,0.043604414682539686
Bohemian Waxwing,46,40,0.11435500394011032
Bohemian Waxwing,46,41,0.25357239057239056
Bohemian Waxwing,46,46,0.1346524570751924
Bohemian Waxwing,46,47,0.0
Bohemian Waxwing,46,48,0.046272468714448234
Bohemian Waxwing,46,49,0.0
Bohemian Waxwing,46,50,0.3578809523809524
Bohemian Waxwing,46,51,1.1627906976744187e-05
Bohemian Waxwing,46,52,0.0
Bohemian Waxwing,48,1,0.1177923076923077
Bohemian Waxwing,48,2,0.0
Bohemian Waxwing,48,7,0.0
Bohemian Waxwing,48,8,6.165703275529866e-05
Bohemian Waxwing,48,9,1.4598540145985402e-06
Bohemian Waxwing,48,10,1.015228426395939e-05
Bohemian Waxwing,48,12,0.0005707220573689416
Bohemian Waxwing,48,13,0.0012783194895870952
Bohemian Waxwing,48,14,0.02429229229229229
Bohemian Waxwing,48,15,0.0
Bohemian Waxwing,48,31,0.033498805256869775
