species,subset_size,hour,expected_abundance
Black Woodpecker,40,2,0.00014925916997886546
Black Woodpecker,40,3,0.004699923405727275
Black Woodpecker,40,4,4.5267653472550335e-05
Black Woodpecker,40,5,1.0728857322603822e-06
Black Woodpecker,40,6,1.1171775590398735e-06
Black Woodpecker,40,7,0.00025184807756014656
Black Woodpecker,40,8,4.574442168861021e-07
Black Woodpecker,40,9,0.0
Black Woodpecker,40,10,1.2727192735937912e-05
Black Woodpecker,40,11,0.0
Black Woodpecker,40,12,1.512400744420768e-06
Black Woodpecker,40,13,0.0
Black Woodpecker,40,14,7.459356526959228e-05
Black Woodpecker,40,15,1.95595604262628e-07
Black Woodpecker,40,16,0.003278285346616458
Black Woodpecker,40,17,3.096546067775034e-05
Black Woodpecker,40,18,0.0013543455199641291
Black Woodpecker,40,19,0.00026694276393617993
Black Woodpecker,40,20,0.00021884666693744304
Black Woodpecker,40,21,1.0107748600076818e-05
Black Woodpecker,40,22,0.0
Black Woodpecker,40,23,0.0
Black Woodpecker,42,0,2.2222222222222223e-05
Black Woodpecker,42,1,4.67687074829932e-06
Black Woodpecker,42,2,0.00011904761904761905
Black Woodpecker,42,3,0.004612839506172839
Black Woodpecker,42,4,3.881219067465486e-05
Black Woodpecker,42,5,7.706225289821082e-07
Black Woodpecker,42,6,8.484889082403903e-07
Black Woodpecker,42,7,0.00025421282736958276
Black Woodpecker,42,8,2.6797818342318483e-07
Black Woodpecker,42,9,0.0
Black Woodpecker,42,10,1.2427097353073128e-05
Black Woodpecker,42,11,0.0
Black Woodpecker,42,12,1.311774602903014e-06
Black Woodpecker,42,13,0.0
Black Woodpecker,42,14,7.242990654205607e-05
Black Woodpecker,42,15,0.0
Black Woodpecker,42,16,0.003287570931722497
Black Woodpecker,42,17,3.0180021178962232e-05
Black Woodpecker,42,18,0.0013583970856102003
Black Woodpecker,42,19,0.0002570330389270527
Black Woodpecker,42,20,0.0002077657307015105
Black Woodpecker,42,21,5.968778696051423e-06
Black Woodpecker,42,22,0.0
Black Woodpecker,42,23,0.0
Black Woodpecker,44,0,2.0634920634920633e-05
Black Woodpecker,44,1,2.9761904761904763e-06
Black Woodpecker,44,2,0.00010434173669467789
Black Woodpecker,44,3,0.004400493827160493
Black Woodpecker,44,4,3.507857949118694e-05
Black Woodpecker,44,5,5.025799102057227e-07
Black Woodpecker,44,6,5.470520592602516e-07
Black Woodpecker,44,7,0.00025054826888521017
Black Woodpecker,44,8,2.0492449320596488e-07
Black Woodpecker,44,9,0.0
Black Woodpecker,44,10,1.148497083894123e-05
Black Woodpecker,44,11,0.0
Black Woodpecker,44,12,1.0266062109675765e-06
Black Woodpecker,44,13,0.0
Black Woodpecker,44,14,6.797952825990208e-05
Black Woodpecker,44,15,0.0
Black Woodpecker,44,16,0.0032462017206663003
Black Woodpecker,44,17,2.800329450523591e-05
Black Woodpecker,44,18,0.0013414207650273224
Black Woodpecker,44,19,0.0002396140006542362
Black Woodpecker,44,20,0.00019367991845056068
Black Woodpecker,44,21,3.213957759412305e-06
Black Woodpecker,44,22,0.0
Black Woodpecker,44,23,0.0
Black Woodpecker,46,0,1.1114816049794376e-05
Black Woodpecker,46,1,5.529053902321181e-06
Black Woodpecker,46,2,8.546266122320885e-05
Black Woodpecker,46,3,0.004198930507700097
Black Woodpecker,46,4,3.074742027841007e-05
Black Woodpecker,46,5,4.245423271716675e-07
Black Woodpecker,46,6,5.584025211739815e-07
Black Woodpecker,46,7,0.00024447500016312013
Black Woodpecker,46,8,1.4191810902508661e-07
